Tries,outcome
885,Two pair
886,Straight flush
887,Two pair
888,Two pair
889,One pair
890,One pair
891,One pair
892,Four of a kind
893,One pair
894,One pair
895,One pair
896,Two pair
897,One pair
898,One pair
899,One pair
900,Two pair
901,One pair
902,One pair
903,High card
904,Straight
905,High card
906,High card
907,Two pair
908,One pair
909,Full house
910,Two pair
911,Two pair
912,One pair
913,Full house
914,One pair
915,Two pair
916,One pair
917,Straight
918,Two pair
919,Two pair
920,High card
921,High card
922,High card
923,Full house
924,One pair
925,Two pair
926,Two pair
927,Three of a kind
928,Two pair
929,Two pair
930,One pair
931,One pair
932,One pair
933,One pair
934,Flush
935,One pair
936,Two pair
937,One pair
938,One pair
939,Two pair
940,Two pair
941,One pair
942,Two pair
943,One pair
944,One pair
945,Two pair
946,High card
947,One pair
948,One pair
949,Two pair
950,High card
951,Two pair
952,One pair
953,One pair
954,One pair
955,One pair
956,One pair
957,Two pair
958,One pair
959,One pair
960,Two pair
961,One pair
962,Two pair
963,One pair
964,Full house
965,One pair
966,Three of a kind
967,Two pair
968,One pair
969,One pair
970,High card
971,Two pair
972,Two pair
973,One pair
974,One pair
975,Two pair
976,Two pair
977,Straight
978,High card
979,One pair
980,Straight
981,Flush
982,Two pair
983,Two pair
984,One pair
985,One pair
986,Straight
987,One pair
988,High card
989,One pair
990,One pair
991,Full house
992,One pair
993,High card
994,High card
995,Three of a kind
996,One pair
997,High card
998,Straight
999,One pair
1000,One pair
1001,One pair
1002,One pair
1003,One pair
1004,One pair
1005,High card
1006,High card
1007,Three of a kind
1008,Straight
1009,Two pair
1010,Two pair
1011,One pair
1012,Two pair
1013,One pair
1014,One pair
1015,Two pair
1016,Two pair
1017,Two pair
1018,Two pair
1019,One pair
1020,Two pair
1021,One pair
1022,High card
1023,One pair
1024,One pair
1025,One pair
1026,One pair
1027,Three of a kind
1028,Flush
1029,One pair
1030,Two pair
1031,One pair
1032,High card
1033,High card
1034,One pair
1035,One pair
1036,One pair
1037,One pair
1038,High card
1039,One pair
1040,One pair
1041,Two pair
1042,One pair
1043,One pair
1044,Straight
1045,Two pair
1046,Two pair
1047,Three of a kind
1048,One pair
1049,One pair
1050,High card
1051,High card
1052,High card
1053,Three of a kind
1054,One pair
1055,High card
1056,Two pair
1057,One pair
1058,High card
1059,Flush
1060,Three of a kind
1061,One pair
1062,One pair
1063,One pair
1064,One pair
1065,One pair
1066,High card
1067,Straight
1068,Three of a kind
1069,One pair
1070,One pair
1071,High card
1072,One pair
1073,One pair
1074,One pair
1075,Two pair
1076,One pair
1077,Two pair
1078,High card
1079,Two pair
1080,One pair
1081,One pair
1082,Flush
1083,One pair
1084,One pair
1085,Straight
1086,Two pair
1087,Two pair
1088,One pair
1089,Two pair
1090,High card
1091,One pair
1092,High card
1093,High card
1094,Two pair
1095,Two pair
1096,One pair
1097,Two pair
1098,High card
1099,High card
1100,High card
1101,High card
1102,One pair
1103,Two pair
1104,One pair
1105,One pair
1106,One pair
1107,Two pair
1108,Two pair
1109,High card
1110,Straight
1111,One pair
1112,Flush
1113,One pair
1114,One pair
1115,Straight
1116,One pair
1117,High card
1118,One pair
1119,Two pair
1120,Two pair
1121,One pair
1122,High card
1123,One pair
1124,Two pair
1125,One pair
1126,One pair
1127,One pair
1128,Two pair
1129,Three of a kind
1130,One pair
1131,High card
1132,Two pair
1133,Straight
1134,High card
1135,Two pair
1136,One pair
1137,Two pair
1138,High card
1139,Three of a kind
1140,One pair
1141,Straight
1142,One pair
1143,Three of a kind
1144,One pair
1145,High card
1146,One pair
1147,Flush
1148,High card
1149,One pair
1150,Flush
1151,One pair
1152,One pair
1153,One pair
1154,One pair
1155,Full house
1156,One pair
1157,Full house
1158,Two pair
1159,One pair
1160,One pair
1161,One pair
1162,Two pair
1163,One pair
1164,Flush
1165,Two pair
1166,One pair
1167,One pair
1168,One pair
1169,One pair
1170,Flush
1171,High card
1172,One pair
1173,High card
1174,One pair
1175,One pair
1176,One pair
1177,Straight
1178,One pair
1179,Two pair
1180,Two pair
1181,Straight
1182,Two pair
1183,One pair
1184,One pair
1185,Two pair
1186,One pair
1187,Two pair
1188,One pair
1189,High card
1190,One pair
1191,One pair
1192,Straight
1193,One pair
1194,One pair
1195,Three of a kind
1196,High card
1197,Two pair
1198,High card
1199,One pair
1200,Two pair
1201,One pair
1202,Three of a kind
1203,Two pair
1204,High card
1205,One pair
1206,High card
1207,One pair
1208,Two pair
1209,One pair
1210,Two pair
1211,One pair
1212,One pair
1213,High card
1214,Three of a kind
1215,One pair
1216,High card
1217,High card
1218,High card
1219,One pair
1220,Two pair
1221,One pair
1222,One pair
1223,One pair
1224,High card
1225,One pair
1226,Straight
1227,Flush
1228,One pair
1229,High card
1230,Straight
1231,One pair
1232,One pair
1233,One pair
1234,One pair
1235,Two pair
1236,Three of a kind
1237,One pair
1238,Straight
1239,One pair
1240,One pair
1241,One pair
1242,High card
1243,Two pair
1244,One pair
1245,Two pair
1246,One pair
1247,One pair
1248,Three of a kind
1249,High card
1250,One pair
1251,Full house
1252,Three of a kind
1253,Three of a kind
1254,High card
1255,Three of a kind
1256,Two pair
1257,High card
1258,Three of a kind
1259,Three of a kind
1260,One pair
1261,Two pair
1262,Full house
1263,Straight
1264,One pair
1265,Two pair
1266,High card
1267,One pair
1268,One pair
1269,Two pair
1270,High card
1271,One pair
1272,High card
1273,Three of a kind
1274,Two pair
1275,High card
1276,One pair
1277,Flush
1278,High card
1279,Three of a kind
1280,Two pair
1281,Two pair
1282,One pair
1283,Two pair
1284,One pair
1285,One pair
1286,One pair
1287,One pair
1288,Two pair
1289,Three of a kind
1290,One pair
1291,One pair
1292,High card
1293,Two pair
1294,High card
1295,High card
1296,Flush
1297,One pair
1298,Full house
1299,One pair
1300,One pair
1301,One pair
1302,High card
1303,High card
1304,Two pair
1305,High card
1306,Full house
1307,One pair
1308,One pair
1309,High card
1310,One pair
1311,Two pair
1312,Two pair
1313,Two pair
1314,One pair
1315,High card
1316,One pair
1317,One pair
1318,High card
1319,One pair
1320,One pair
1321,Two pair
1322,High card
1323,Two pair
1324,Full house
1325,Full house
1326,Flush
1327,One pair
1328,Two pair
1329,Two pair
1330,One pair
1331,Two pair
1332,One pair
1333,One pair
1334,Two pair
1335,Three of a kind
1336,Two pair
1337,One pair
1338,One pair
1339,High card
1340,One pair
1341,Full house
1342,One pair
1343,Two pair
1344,Flush
1345,Two pair
1346,High card
1347,Two pair
1348,High card
1349,Three of a kind
1350,High card
1351,Two pair
1352,High card
1353,One pair
1354,High card
1355,Three of a kind
1356,One pair
1357,One pair
1358,High card
1359,High card
1360,One pair
1361,One pair
1362,One pair
1363,One pair
1364,Straight
1365,Two pair
1366,Full house
1367,Two pair
1368,One pair
1369,One pair
1370,Flush
1371,One pair
1372,One pair
1373,One pair
1374,Two pair
1375,Two pair
1376,One pair
1377,Three of a kind
1378,High card
1379,One pair
1380,Three of a kind
1381,Straight
